Date,Factor_Strategy,Baseline_EqualWeight
2022-05-13,0.0272562661067558,0.05161010971010077
2022-05-16,-0.004608315588282841,-0.013508293289918538
2022-05-17,0.02288337520792394,0.03494618778178493
2022-05-18,-0.050974595126863864,-0.0604185991846492
2022-05-19,-0.014170293541119594,-0.0038578581221542507
2022-05-20,-0.00027214157374688686,-0.005780146238803602
2022-05-23,0.0360756059763897,0.021013769174494518
2022-05-24,-0.01158378803842991,-0.024834379159421216
2022-05-25,0.006155215312313889,0.02220755172352007
2022-05-26,0.018037157438387297,0.03199369070838809
2022-05-27,0.03418054738167853,0.039692923173623995
2022-05-31,-0.005180008115932666,0.006555163070648906
2022-06-01,0.000574930464927903,-0.0013589121868503307
2022-06-02,0.01236993395799535,0.0314055916279376
2022-06-03,-0.027581480828004046,-0.031214014406451412
2022-06-06,0.00026217302926617725,0.005998169925993141
2022-06-07,0.0157699009197525,0.006162091985112861
2022-06-08,-0.006356632752475222,-0.010497648004945292
2022-06-09,-0.028369554798840513,-0.032605669736105736
2022-06-10,-0.04159603435621356,-0.04966557131206803
2022-06-13,-0.040348763995035286,-0.053353261803301216
2022-06-14,0.007938728716131882,0.0037094656827531824
2022-06-15,0.024923545373952916,0.0364679709512169
2022-06-16,-0.03331086786766202,-0.039973705596929754
2022-06-17,0.011236573550318818,0.01626316651293952
2022-06-21,0.028675998007610004,0.03092760513144116
2022-06-22,-0.0031156826671957516,-0.004045483779692299
2022-06-23,0.022105164988971193,0.01699790331322315
2022-06-24,0.029333475761415206,0.0374876457382356
2022-06-27,-0.00524832180677709,-0.013330980046611568
2022-06-28,-0.030769416493001023,-0.04138114310940569
2022-06-29,0.013881014193874552,0.0035959359201337138
2022-06-30,-0.015603515594470485,-0.02018263545899107
2022-07-01,0.013435954013170548,0.004114446709767378
2022-07-05,0.015763745430393716,0.02446380628478717
2022-07-06,0.01119515922895864,0.010199115973043793
2022-07-07,0.016113052263278416,0.02445889475012797
2022-07-08,0.0009787729872332562,-0.0015236726317910676
2022-07-11,-0.013263202904001403,-0.025660619520667782
2022-07-12,-0.017073829698846577,-0.01535182396179044
2022-07-13,-0.0031409014481482145,0.0024897707205329966
2022-07-14,0.012931979368925428,0.010415964649351905
2022-07-15,0.01092028749663887,0.018401481004325648
2022-07-18,-0.015132281728532038,-0.0017270010498041943
2022-07-19,0.023744272649120934,0.03548608844646961
2022-07-20,0.012033948042716847,0.02765172140047839
2022-07-21,0.012446544915557411,0.013422441891633385
2022-07-22,-0.012513350627827768,-0.02081442574420525
2022-07-25,-0.006637319769872918,-0.010190951328860026
2022-07-26,-0.017800382609987675,-0.029173948177006415
2022-07-27,0.05054338870794295,0.05769253383840156
2022-07-28,0.01605627830486278,0.013461708183354959
2022-07-29,0.02422887432461185,0.04050637214051955
2022-08-01,-0.007938867497861268,0.0006721759880437272
2022-08-02,-0.010380855362655761,-0.006309361807933678
2022-08-03,0.03304207858661412,0.031461701175899026
2022-08-04,0.0011255172481153264,0.01028870207733898
2022-08-05,-0.0019988667636513524,-0.007043621429406122
2022-08-08,-0.0060288952002184315,-0.021228391725228668
2022-08-09,0.0036832611779232804,-0.010925390974732968
2022-08-10,0.025247562348590713,0.03623175109720583
2022-08-11,-0.0059161677724771655,-0.008691001257784492
2022-08-12,0.019231403999691588,0.02547562484463667
2022-08-15,0.005838727859473258,0.006591153040922948
2022-08-16,-0.001756692987844477,-9.449220898394284e-05
2022-08-17,0.003074145414189211,-0.01029435966615555
2022-08-18,-0.0031195570868095546,0.0047643104577432815
2022-08-19,-0.014478039422718858,-0.026694349911470044
2022-08-22,-0.02619238644282551,-0.033572337587766704
2022-08-23,-0.0033726662479950376,0.0012216997497393467
2022-08-24,-0.00027861278979740556,0.0007940658806216694
2022-08-25,0.013009085861633518,0.023037577468183745
2022-08-26,-0.03814328804155265,-0.054033285918068275
2022-08-29,-0.012179147332593732,-0.014982328440200782
2022-08-30,-0.011913055843114972,-0.013266908270444633
2022-08-31,-0.008169586264872852,-0.013935953249359645
2022-09-01,0.00030723110849589785,-0.016938948046008345
2022-09-02,-0.015138773953269458,-0.013377691128336866
2022-09-06,-0.009594608293028384,-0.010876233619381448
2022-09-07,0.014182751522810233,0.018470777788104242
2022-09-08,-0.00397577794227294,0.0036999786047730854
2022-09-09,0.020908337512476782,0.024192372672659668
2022-09-12,0.023394350218969406,0.019712924587660774
2022-09-13,-0.06462740341184364,-0.0697398124601836
2022-09-14,0.01159847616401799,0.00597032632448502
2022-09-15,-0.018294365882983,-0.01971657832550741
2022-09-16,-0.016368514868421336,-0.0036348220072615622
2022-09-19,0.01711525824984994,0.011818262744121427
2022-09-20,-0.002074195586527827,-0.0070019872835108965
2022-09-21,-0.02506962758155662,-0.01453101609088392
2022-09-22,-0.008375703376570343,-0.015260558616962572
2022-09-23,-0.01391095256546565,-0.015373884689689837
2022-09-26,0.007150586971977013,-0.002671201914842297
2022-09-27,0.0010931044893374153,0.0027222495675811587
2022-09-28,0.003530069022288307,0.01613674336948903
2022-09-29,-0.03816007185318154,-0.03291104899435632
2022-09-30,-0.02470389744441609,-0.017928946593332468
2022-10-03,0.02957461313865406,0.030157307152405
2022-10-04,0.03529159905747259,0.039186400133583654
2022-10-05,0.00044853719400639314,0.0013431284293469181
2022-10-06,-0.0059997725938449875,-0.006912795917492803
2022-10-07,-0.049283556019683594,-0.053890080984517
2022-10-10,-0.009473707736607329,-0.015084161971301663
2022-10-11,-0.01350229205957848,-0.011761658528343932
2022-10-12,-0.001548540246403829,-0.001092647444574768
2022-10-13,0.035610480994811344,0.026985877972410366
2022-10-14,-0.02824438883799546,-0.04195182061121136
2022-10-17,0.03418422929603926,0.04792424010152957
2022-10-18,0.006746633849277317,0.010681081558398808
2022-10-19,-0.0038522955512953483,-0.0029429157481513923
2022-10-20,-0.0023311838660721174,0.0021920338089195246
2022-10-21,0.02616976247074798,0.02749004340741712
2022-10-24,0.017995292850276567,0.01271244733927357
2022-10-25,0.01656467706465392,0.023045737585730364
2022-10-26,-0.03029445513070722,-0.04131732600217497
2022-10-27,-0.035550947013405276,-0.01728657063212044
2022-10-28,0.003754922894218249,0.02441744412090749
2022-10-31,-0.01563302137387207,-0.01625164422176248
2022-11-01,-0.01730111827125136,-0.02158706854925016
2022-11-02,-0.036336576904095697,-0.03621143506528515
2022-11-03,-0.03449199076628623,-0.02107879598706855
2022-11-04,0.015689012716805284,0.026239002208977652
2022-11-07,0.016586038702311567,0.009617216065433781
2022-11-08,0.004281730813766704,0.005883880275275422
2022-11-09,-0.02612007984627346,-0.03787093116405438
2022-11-10,0.08562124995942189,0.109078371379694
2022-11-11,0.018133062371023523,0.02898795943582999
2022-11-14,-0.015992620938954594,-0.014191198602927724
2022-11-15,0.006803891547618401,0.010236131778664559
2022-11-16,-0.0032539022797293815,-0.01756616028721092
2022-11-17,0.0063823582991975325,-0.006313364040964137
2022-11-18,0.000939222161321418,-0.0056755040689722425
2022-11-21,-0.009119692177096628,-0.010513911317392571
2022-11-22,0.013486342113573802,0.020511981249770717
2022-11-23,0.008166672244382722,0.014075752214682491
2022-11-25,-0.009978700998931389,-0.010669949496370373
2022-11-28,-0.024708187945739757,-0.017715865640793
2022-11-29,-0.013531769147053452,-0.013806818188109388
2022-11-30,0.055108846766956376,0.05929403723340376
2022-12-01,6.393058218090442e-05,0.00047061429101369345
2022-12-02,-0.0010378237833452708,-0.007884109206833412
2022-12-05,-0.013441825338842306,-0.01894780241767549
2022-12-06,-0.02283690763256846,-0.028376949644704552
2022-12-07,-0.008422300565077145,-0.0015364312413031211
2022-12-08,0.012265906897339085,0.027742977433659166
2022-12-09,-0.0057189338031271575,-0.008792252142797136
2022-12-12,0.022639399073245636,0.023269188950574893
2022-12-13,0.012123693772192912,0.019074109862234456
2022-12-14,-0.007184045893013635,-0.011557475460165417
2022-12-15,-0.03938625936760948,-0.03845035647213699
2022-12-16,-0.01596367674791266,-0.015268126612209776
2022-12-19,-0.016619024181558917,-0.02145763383625207
2022-12-20,0.0025428876785875687,-0.0005330006641792451
2022-12-21,0.017343148554611165,0.0197739049183972
2022-12-22,-0.0246505080691809,-0.03851616560727636
2022-12-23,-0.00026571317129747696,0.0020555858388239256
2022-12-27,-0.01064626559552806,-0.02964244146630096
2022-12-28,-0.020470028172622612,-0.015412814179160239
2022-12-29,0.02797709313532859,0.031298550516316304
2022-12-30,-0.001234422987858419,-0.0009634502630982145
2023-01-03,-0.01920280319079848,-0.009299714621904986
2023-01-04,-0.016714406992870634,-0.0027586200430363694
2023-01-05,-0.020121183323631775,-0.024195921909894585
2023-01-06,0.024289751597691756,0.0314577482415454
2023-01-09,0.006912612580123878,0.02011206196334331
2023-01-10,0.006036652107330176,0.014696370978268092
2023-01-11,0.025675372732197,0.028804345932570807
2023-01-12,0.005511042052867399,0.011196980300614917
2023-01-13,0.006568768933725044,0.016638124783058428
2023-01-17,0.0067191377470718905,0.009964801348221808
2023-01-18,-0.012129521393633713,-0.01219030622570666
2023-01-19,-0.008005039735149655,-0.017468977671422414
2023-01-20,0.02748221430643849,0.03928379590441905
2023-01-23,0.016662327489343154,0.028000503451638403
2023-01-24,0.003918383153471594,-0.00017924941054417443
2023-01-25,-0.005304356987544945,0.0003326349226948633
2023-01-26,0.022758442296528347,0.02282451381563322
2023-01-27,0.007164673469724381,0.01829952446228822
2023-01-30,-0.021019784625448013,-0.029410283373359297
2023-01-31,0.015016729490649139,0.018815595617383607
2023-02-01,0.013917751030386727,0.029847121396071152
2023-02-02,0.04197339951463108,0.048580328805224615
2023-02-03,0.0003897299963499523,-0.02789710421267677
2023-02-06,-0.012022369448049519,-0.009067259300688135
2023-02-07,0.03063350067036108,0.027995781691376842
2023-02-08,-0.010377359911420192,-0.00987153128381707
2023-02-09,-0.009285683952219514,-0.0076794212781570725
2023-02-10,-0.02276800250462041,-0.013480446393477008
2023-02-13,0.025025145753200584,0.023604303710732633
2023-02-14,-0.0005462122876653819,0.013702745091230095
2023-02-15,0.0029552590969795234,0.002885772322018809
2023-02-16,-0.021951545020285512,-0.025070217404121825
2023-02-17,-0.017726595253150568,-0.015183494449971746
2023-02-21,-0.023783237319627615,-0.027198199780651355
2023-02-22,-0.000847404974063104,0.003972930527092022
2023-02-23,0.0717522156869802,0.03919483171837235
2023-02-24,-0.019894908086194873,-0.019993858060845526
2023-02-27,0.006009677081195042,0.006008221820722415
2023-02-28,-0.003202806845134132,-0.00337991466284418
2023-03-01,-0.013437793328438974,-0.017762353485119037
2023-03-02,0.011891238064820397,0.012621903818596403
2023-03-03,0.02586803717186348,0.02662713833269892
2023-03-06,0.012364252553194954,-0.00036351625871081095
2023-03-07,-0.012542811541820686,-0.009586027785256412
2023-03-08,0.0033033505638637717,0.012226876978825518
2023-03-09,-0.010177056291604425,-0.017236103275710263
2023-03-10,-0.01433074022189279,-0.01630895961656184
2023-03-13,0.017353415368085767,0.01337179603314681
2023-03-14,0.020572546916223344,0.028854485639314476
2023-03-15,0.010225874781515154,0.010305304121371706
2023-03-16,0.029615343410322015,0.03833524051873066
2023-03-17,0.0031202444503696802,0.0006372340403467958
2023-03-20,-0.0051416379940291135,-0.004003033369432973
2023-03-21,0.008818917569571205,0.01471552621368688
2023-03-22,0.0005821179748600191,-0.005815500708503563
2023-03-23,0.0133454433539697,0.013527021221721558
2023-03-24,0.009392925184351086,-0.000560516562205543
2023-03-27,-0.013613380658544394,-0.009351190439414792
2023-03-28,-0.00407079474227634,-0.0052155870773908375
2023-03-29,0.01948737415238455,0.022915805131722478
2023-03-30,0.01125491507541787,0.013688220074319912
2023-03-31,0.015303012971137231,0.014410382195565008
2023-04-03,0.0019951935104191576,0.0005597087752561569
2023-04-04,-0.0017118578890469305,-0.0016736967555308346
2023-04-05,-0.010589715177319436,-0.017357970553942642
2023-04-06,0.015514267529526782,0.011581829313445036
2023-04-10,0.0020371833560474673,-0.000606677042254089
2023-04-11,-0.011228745090006487,-0.0167870436154523
2023-04-12,-0.01458042216943456,-0.011935928596584655
2023-04-13,0.016447847997463128,0.02550215803125444
2023-04-14,0.004516880848068561,-0.0006644253413299328
2023-04-17,0.0046198505752288455,0.0051949155540763625
2023-04-18,0.016066246494975345,0.006590222546362323
2023-04-19,0.008255156871517677,0.009084524706976516
2023-04-20,-0.01772742753349682,-0.0120662974604758
2023-04-21,-0.004613769197434059,0.0049732530138983655
2023-04-24,-0.0004803273526645113,-0.005483828690332759
2023-04-25,-0.019528219307018146,-0.02396603573059411
2023-04-26,0.013593192459037229,0.03077925067917542
2023-04-27,0.019205767211288527,0.029135838915851364
2023-04-28,0.013375490113087363,-0.0012674481790470038
2023-05-01,0.020654385651527774,0.0008832935111042217
2023-05-02,-0.015202219369597036,-0.0038531853049252607
2023-05-03,-0.010465240391202502,-0.006011117757659723
2023-05-04,-0.00927298245541397,-0.0029628081284843732
2023-05-05,0.04374512444610945,0.03015224378306086
2023-05-08,0.008009608811913316,0.0027975020745319157
2023-05-09,-0.014933856540043478,-0.006937155563049774
2023-05-10,0.010705634496281036,0.018047775674597366
2023-05-11,-0.00476701474511898,0.0003703425206332267
2023-05-12,-0.006872720607999039,-0.008634214127740653
2023-05-15,0.009366484073772219,0.00721101277143274
2023-05-16,0.004490058638626171,0.009033034835872922
2023-05-17,0.018318229677100173,0.016151630092519464
2023-05-18,0.031685583764411995,0.025177446075931753
2023-05-19,-0.00622032295878,-0.007271771263844623
2023-05-22,-0.004147752914716363,-0.002510217920199731
2023-05-23,-0.01540408714298619,-0.01235350829378093
2023-05-24,-0.0016279106984077862,0.0018943366467777945
2023-05-25,0.12519444182325346,0.06846434722458714
2023-05-26,0.017745135152236746,0.02633984606916978
2023-05-30,0.002806536068230059,0.012107845617344154
2023-05-31,-0.004398217458914222,-0.018610327079117167
2023-06-01,0.014390843022644706,0.024528719637850582
2023-06-02,0.006627351358793554,0.003542663714795613
2023-06-05,-0.0029805877252624957,-0.0003692897061478573
2023-06-06,-0.0043938508684448485,-0.002882775606943694
2023-06-07,-0.01931206127829177,-0.027879564119965478
2023-06-08,0.01063932811232382,0.018452140893049085
2023-06-09,0.0034318744293865278,0.0017539067179540846
2023-06-12,0.015561401237531247,0.018731789404206445
2023-06-13,0.002370378265670381,0.011114256191879973
2023-06-14,0.006307678390325644,0.014716342035580532
2023-06-15,0.02154763830050621,0.010138163997849142
2023-06-16,-0.01121785967415495,-0.008566599535381025
2023-06-20,-0.006007934017916161,0.0041089262976512775
2023-06-21,-0.011546069567524186,-0.010981719445124327
2023-06-22,0.008030424288175797,0.01927906381005673
2023-06-23,-0.010338555666796478,-0.010195845845374196
2023-06-26,-0.02245739267999225,-0.01988553241469479
2023-06-27,0.022837683668619713,0.019593159029558327
2023-06-28,-0.005898574292738101,-0.002263827810950997
2023-06-29,-0.00268909619981772,-0.00414867843097802
2023-06-30,0.02967885197221587,0.023744324677245243
2023-07-03,-0.0025803715672615413,-0.003430703319894368
2023-07-05,-0.004067341010000447,-0.0016081393949801959
2023-07-06,-0.001274150694358489,-0.002203716292591973
2023-07-07,0.0018044733181095118,0.0007010255987649205
2023-07-10,-0.009227562753298502,-0.013714513488709612
2023-07-11,0.0012620371069331227,0.004357926445320709
2023-07-12,0.02214402517847469,0.01855017244109386
2023-07-13,0.0256608792445977,0.02356800689931915
2023-07-14,-0.005130812903536175,2.4365262664777232e-05
2023-07-17,0.019561358175387067,0.008056485371961936
2023-07-18,0.010446673266460593,0.01380681830686159
2023-07-19,-0.0008541362947098174,0.001267862442156903
2023-07-20,-0.021585483639484593,-0.026546541584280547
2023-07-21,-0.01638275776770709,-0.010348694966661715
2023-07-24,0.005529243459638344,0.001431399371918246
2023-07-25,0.014215603682663058,0.012000598620544478
2023-07-26,-0.00021234042171985879,-0.011412835484466116
2023-07-27,0.001637899283788824,-0.004203992558896391
2023-07-28,0.01601318022642062,0.02150870626284912
2023-07-31,0.001358334438727793,0.0016486558188809342
2023-08-01,-0.004513318385928666,-0.00566558411178078
2023-08-02,-0.03180588977072385,-0.029080150488874468
2023-08-03,-0.0008823440793128134,0.0002825993373516966
2023-08-04,-0.022156760000675124,0.01045213650541843
2023-08-07,-0.00037919214048293126,0.00633416865100303
2023-08-08,-0.005634065844154712,-0.009899651322885422
2023-08-09,-0.028097930203322963,-0.02071166974542349
2023-08-10,-0.002567884069549664,0.0005467898058396647
2023-08-11,-0.01791418322275312,-0.01071412501800989
2023-08-14,0.04016347036802781,0.026342929675897186
2023-08-15,-0.0034632311161830187,-0.008571114104691219
2023-08-16,-0.007645619469765164,-0.009151357115724706
2023-08-17,-0.008910239461268177,-0.009219195188782059
2023-08-18,0.0008889258335912364,-0.0012891980297893013
2023-08-21,0.04622510022370985,0.03011807635927022
2023-08-22,-0.009876474271484137,-0.005285975709543339
2023-08-23,0.026828120936282396,0.01929891925366567
2023-08-24,-0.012586598802566296,-0.018456636833411894
2023-08-25,-0.005817083774367904,0.0021358955844304195
2023-08-28,0.013300057007189059,0.006982213196477488
2023-08-29,0.03171209117528251,0.02281726669850731
2023-08-30,0.005498149692809595,0.007838640494689797
2023-08-31,-0.0006426817446440469,0.005413379375239918
2023-09-01,-0.007197717011550697,-0.001283734230117295
2023-09-05,0.007841265841618816,0.0026987719593604687
2023-09-06,-0.016279097346373006,-0.020566425919907844
2023-09-07,-0.013173044460889793,-0.00930002298576929
2023-09-08,-0.0006261422658347948,0.0012489953800173814
2023-09-11,0.023105201259542518,0.011046877204061029
2023-09-12,-0.015662760726618208,-0.013800934544657917
2023-09-13,0.019281369886914312,0.010103566813684683
2023-09-14,0.0034790993784136193,0.004462892056279311
2023-09-15,-0.0274784426540588,-0.02399763879703362
2023-09-18,-0.00321651863500233,0.002995927885086541
2023-09-19,-0.009017028717443532,-0.005499317004169474
2023-09-20,-0.020489580798190687,-0.022601501250280098
2023-09-21,-0.023959608943939337,-0.021434848821474173
2023-09-22,-0.004755118976825901,0.0024729050893740334
2023-09-25,0.009161591757427368,0.010102864644344511
2023-09-26,-0.028652161997687275,-0.022017099263829665
2023-09-27,0.007686078466441093,0.001618652648612523
2023-09-28,0.008670158769831349,0.004716513446551662
2023-09-29,0.008121280126763164,0.007084518161767972
2023-10-02,0.0243279146560873,0.020474784587413197
2023-10-03,-0.02719115618936463,-0.02469149105324331
2023-10-04,0.014907134077539075,0.013850997251069752
2023-10-05,0.007972615922299808,0.0037385764453564396
2023-10-06,0.024385290076532673,0.019849764217353683
2023-10-09,-0.0014316682725595276,0.001983023409127288
2023-10-10,0.0036303051403852593,0.003355125320094743
2023-10-11,0.017140790886257307,0.015083809558709083
2023-10-12,-0.0004103151113080128,0.0020083081945177217
2023-10-13,-0.020952020863601206,-0.017863993365504455
2023-10-16,0.006609525220271528,0.012366525407921741
2023-10-17,-0.02426926414130759,-0.016367783403977237
2023-10-18,-0.02275964580909201,-0.019579754522393383
2023-10-19,0.0007073162957419443,0.0003401859192187495
2023-10-20,-0.01549720108906244,-0.017713579207718877
2023-10-23,0.023240775701001692,0.014570114512448495
2023-10-24,0.009738562591629196,0.009507449750589592
2023-10-25,-0.03463170742246435,-0.02043353852566715
2023-10-26,-0.031059864100684398,-0.02797271675026103
2023-10-27,0.006912376264338604,0.021616908877729546
2023-10-30,0.030823900316538366,0.022568593043666818
2023-10-31,0.0026174480065862538,-0.00030067544415285363
2023-11-01,0.02646060227922098,0.027386536215508295
2023-11-02,0.007155895158644565,0.01572702655427971
2023-11-03,0.008350166437562478,0.01149356181100708
2023-11-06,0.013574328197291319,0.012494744518580625
2023-11-07,0.007839111390384956,0.012845673038182681
2023-11-08,0.0014956894205770954,0.005586462838512551
2023-11-09,-0.00866388219194747,-0.002969745684453351
2023-11-10,0.027198169580908704,0.02466720145723278
2023-11-13,-0.0010960865379372464,-0.004383126830960898
2023-11-14,0.015549282376172924,0.016974102803488877
2023-11-15,-0.007530080313315035,-0.00746299877958892
2023-11-16,0.014846243060775643,0.009037704676126607
2023-11-17,-0.010239519212687398,-0.0010328045968535926
2023-11-20,0.013532702821106635,0.01471998856351181
2023-11-21,-0.010401309425198457,-0.010073479699083177
2023-11-22,0.01617000966949944,0.002816744392891951
2023-11-24,-0.0004534763589682522,-0.006801650626687666
2023-11-27,0.004936506689856346,0.004669845249737403
2023-11-28,0.003032179078800601,0.0001378121664569465
2023-11-29,-0.007444477985823483,-0.003406926403880267
2023-11-30,-0.000706790302048399,-0.006702338399615454
2023-12-01,-0.002588982268908857,0.0003765688272791834
2023-12-04,-0.014616824678505225,-0.01638365965321434
2023-12-05,0.015109706781140209,0.016899469311595083
2023-12-06,-0.007836489877963648,-0.013642148369443441
2023-12-07,0.007984602786712314,0.014079916541773707
2023-12-08,0.006259254156909422,0.009865154868970882
2023-12-11,-0.009104065950422346,-0.0124096236385281
2023-12-12,0.009596959644101788,0.012301060544334386
2023-12-13,0.008332469617144178,0.008732560164360748
2023-12-14,-0.010893518395826918,-0.006469796856097693
2023-12-15,0.00519582168918753,0.009714430565164689
2023-12-18,-0.0016621591145982162,0.012073402289509705
2023-12-19,0.0034984484866025234,-0.0010665320485718777
2023-12-20,-0.008893343188184633,-0.014685987841804138
2023-12-21,0.003554442481196185,0.009171505487146625
2023-12-22,-0.0013817176237376771,-0.0021898682004000414
2023-12-26,7.421195829188099e-05,0.0016256596528622935
2023-12-27,-0.0010155214134643376,0.00032183427945639553
2023-12-28,0.0017478497150704708,0.001961680201559679
2023-12-29,-0.0016995474331089055,-0.003196889369775441
